timestamp,cycle,phase,temp,freq,recovery_time,error_detected
1747130672,1,pulse,53,2702397,N/A,0
1747130677,1,recovery,44,2698864,5.003960288,0
1747130682,2,pulse,53,2700481,N/A,0
1747130687,2,recovery,44,2700045,5.003029091,0
1747130692,3,pulse,49,2703129,N/A,0
1747130697,3,recovery,45,2706715,5.004033309,0
1747130703,4,pulse,49,2699985,N/A,0
1747130708,4,recovery,44,2700075,5.003028223,0
1747130713,5,pulse,50,2700784,N/A,0
1747130718,5,recovery,44,2697130,5.002892397,0
1747130724,6,pulse,50,2701705,N/A,0
1747130729,6,recovery,44,2700455,5.003137769,0
1747130734,7,pulse,48,2700208,N/A,0
1747130739,7,recovery,45,2701170,5.002873138,0
1747130744,8,pulse,51,2700764,N/A,0
1747130749,8,recovery,44,2698575,5.003163995,0
1747130756,9,pulse,47,2699091,N/A,0
1747130761,9,recovery,45,2698296,5.003172648,0
1747130766,10,pulse,48,2700053,N/A,0
1747130771,10,recovery,45,2698770,5.004288223,0
